LV_NUMBER,PARISH,SIZE,lot_id,zone_before,zone_after,location_desc
16101006046,ST.ELIZABETH,51804.821,BR1,Wetland and Mixed Use: Office/Commercial/Industry-Light,Recreational,vicinity of Lewis Lane
16101006006,ST.ELIZABETH,22257.71,BR1,Wetland and Mixed Use: Office/Commercial/Industry-Light,Recreational,vicinity of Lewis Lane
16104005064,,0.0,BR3,Mixed Use: Office/Commercial/Residential,Institutional,intersection of Exchange Drive and High Street
16104005008,,0.0,BR3,Mixed Use: Office/Commercial/Residential,Institutional,intersection of Exchange Drive and High Street
16104005005,ST.ELIZABETH,5058.571,BR3,Mixed Use: Office/Commercial/Residential,Institutional,intersection of Exchange Drive and High Street
16104005007,ST.ELIZABETH,3606.7608,BR3,Mixed Use: Office/Commercial/Residential,Institutional,intersection of Exchange Drive and High Street
16104005007,ST.ELIZABETH,3606.7608,BR3,Mixed Use: Office/Commercial/Residential,Institutional,intersection of Exchange Drive and High Street
16104005069,ST.ELIZABETH,2369.9403,BR3,Mixed Use: Office/Commercial/Residential,Institutional,intersection of Exchange Drive and High Street
16101001128,ST.ELIZABETH,867.23,BR3,Mixed Use: Office/Commercial/Residential,Institutional,intersection of Exchange Drive and High Street
16101001041,ST.ELIZABETH,4110.089,BR2,Residential,Mixed Use: Office/Commercial/Residential,corner of Bloomsdale Road and High Street
16101001118,ST.ELIZABETH,7081.999,BR2,Residential,Mixed Use: Office/Commercial/Residential,corner of Bloomsdale Road and High Street
16101001125,ST.ELIZABETH,1006.74,BR2,Residential,Mixed Use: Office/Commercial/Residential,corner of Bloomsdale Road and High Street
16101001132,ST.ELIZABETH,1173.84,BR2,Residential,Mixed Use: Office/Commercial/Residential,corner of Bloomsdale Road and High Street
16101001119,ST.ELIZABETH,5654.913,BR2,Residential,Mixed Use: Office/Commercial/Residential,corner of Bloomsdale Road and High Street
16101001126,ST.ELIZABETH,935.1,BR2,Residential,Mixed Use: Office/Commercial/Residential,corner of Bloomsdale Road and High Street
16101001130,ST.ELIZABETH,1340.6,BR3,Mixed Use: Office/Commercial/Residential,Institutional,intersection of Exchange Drive and High Street
16101006067,ST.ELIZABETH,2025.4516,BR1,Wetland and Mixed Use: Office/Commercial/Industry-Light,Recreational,vicinity of Lewis Lane
16101006066,ST.ELIZABETH,37360.0,BR1,Wetland and Mixed Use: Office/Commercial/Industry-Light,Recreational,vicinity of Lewis Lane
16101006103,ST.ELIZABETH,1572.77,BR1,Wetland and Mixed Use: Office/Commercial/Industry-Light,Recreational,vicinity of Lewis Lane
16101006102,ST.ELIZABETH,1684.93,BR1,Wetland and Mixed Use: Office/Commercial/Industry-Light,Recreational,vicinity of Lewis Lane
